What is the basic unit of data in MongoDB?,The BSON document.
Which data format is the document model in MongoDB based on?,JSON (JavaScript Object Notation).
"In a MongoDB context, what is a 'collection'?","A grouping of documents, analogous to a table in a relational database."
The internal binary format used by MongoDB to represent and store documents is called _____.,BSON
What does it mean for a database to support 'ad hoc queries'?,The system can execute queries without requiring the user to define them in advance.
Which data structure is primarily used for indexes in MongoDB?,B-tree
What is the primary role of a 'primary node' in a MongoDB replica set?,It is the only node that can accept write operations.
How does a replica set handle the failure of a primary node?,The remaining nodes hold an election to automatically promote a secondary node to primary.
"In MongoDB, what is 'journaling' used for?",It ensures the database can be restored to a consistent state after an unclean shutdown.
What is 'sharding' in the context of MongoDB?,A method for horizontal scaling that distributes data across multiple machines.
What is the primary benefit of horizontal scaling over vertical scaling?,It allows a system to expand capacity by adding more commodity servers rather than upgrading a single expensive machine.
Which MongoDB process is responsible for routing operations in a sharded cluster?,mongos
What is the purpose of the 'Object ID' in a MongoDB document?,"It serves as a unique primary key for the document, usually stored in the $\_id$ field."
Where is the Object ID typically generated in a MongoDB application architecture?,It is generated by the client-side database driver.
Structure: Object ID,"The ID consists of a $4$-byte timestamp, a $3$-byte machine ID, a $2$-byte process ID, and a $3$-byte counter."
How can a developer extract the creation time of a document using only its Object ID?,"By reading the first four bytes, which store a standard Unix timestamp."
"In the MongoDB shell, which command is used to switch to a specific database?",use <database\_name>
What happens if you attempt to insert a document into a collection that does not yet exist?,MongoDB creates the collection and its parent database automatically.
Which shell method is used to return all documents in a collection?,db.<collection>.find()
"In a MongoDB query, which operator is used to represent a 'greater than' condition?",$\$gt$
How does MongoDB handle queries on fields that contain arrays?,The query matches if any element in the array satisfies the query criteria.
"In the MongoDB shell, what is the function of the `it` command?",It iterates a cursor to display the next set of results from a query.
What is the difference between an operator update and a replacement update?,"An operator update modifies specific fields, while a replacement update overwrites the entire document with a new one."
Which update operator is used to add a new field to a document without removing existing ones?,$\$set$
Which update operator is used to remove a specific field from a document?,$\$unset$
How does the `$\$addToSet` operator differ from the `$\$push` operator?,"$\$addToSet$ adds a value only if it does not already exist in the array, whereas $\$push$ adds it regardless."
"By default, how many documents are modified by a single `update()` operation?",Exactly one document.
What is an 'upsert' in MongoDB?,An operation that updates a document if it matches the query or inserts a new one if no match is found.
Which command is used to delete an entire collection and all its associated indexes?,db.<collection>.drop()
"In `explain()` output, what does `COLLSCAN` indicate?",The query engine performed a collection scan because no suitable index was found.
What is the primary function of the `explain()` method in MongoDB?,"It provides details on how the query engine plans to execute a specific query, including index usage."
How many indexes can be created per MongoDB collection?,Up to $64$.
What is the purpose of a unique index in MongoDB?,It prevents multiple documents from having the same value for the indexed field.
Which MongoDB command provides information on the storage size and index sizes of a database?,db.stats()
What is the virtual collection used to execute database commands manually?,$\$cmd$
Why is it recommended to run MongoDB on $64$-bit systems for production?,"To avoid the $4$ GB memory addressing limit of $32$-bit systems, which severely restricts data set size."
"In database performance tuning, what is the 'working set'?",The portion of the data and indexes that the application accesses most frequently.
Concept: Normalization,The practice of structuring data to reduce redundancy by separating entities into distinct collections or tables.
Concept: Denormalization,The practice of duplicating data across documents to optimize for read performance and avoid multiple queries.
How are many-to-many relationships typically modeled in MongoDB without using join tables?,By storing an array of references (Object IDs) directly within one or both of the related documents.
What is a 'slug' in the context of web application data modeling?,"A human-readable, unique string used in URLs to identify a specific resource."
What happens in a 'capped collection' when the fixed size limit is reached?,New documents overwrite the oldest documents in the collection.
Under what conditions can a document be updated in a capped collection?,Updates are permitted only if they do not increase the document's size.
What is the primary function of a TTL (Time-To-Live) index?,It automatically removes documents from a collection after a specified amount of time has passed.
Which system collection stores metadata about all the indexes defined in a database?,system.indexes
What is the maximum permitted length for a BSON key name?,$255$ bytes.
Why does the choice of key names affect the storage requirements in MongoDB?,Because BSON is a self-describing format that stores the key names inside every individual document.
What characters are prohibited at the beginning of a BSON key name?,The dollar sign ($\$$) and the dot ($.$).
How does MongoDB use preallocation for data files?,"It creates large, contiguous files on disk to ensure that data for a database is stored in close proximity."
What information is stored in the `mongod.lock` file?,The process ID of the currently running MongoDB server.
What is the purpose of the `.ns` file in the MongoDB data directory?,It stores namespace metadata for every collection and index within a database.
"In `db.stats()` output, what is the difference between `dataSize` and `storageSize`?","`dataSize` is the actual size of BSON documents, while `storageSize` includes preallocated space and empty extents."
What is the maximum number of entries a default $16$ MB namespace file can hold?,"Approximately $26,000$ entries."
How does the file size of MongoDB data files increment during allocation?,"Each new file is twice the size of the previous one (e.g., $64$ MB, $128$ MB, $256$ MB) until it reaches $2$ GB."
Which tool is used for performing hot backups of a MongoDB database in its native BSON format?,mongodump
Which utility provides real-time statistics on MongoDB's operations per second and memory usage?,mongostat
What does the `mongotop` utility track?,The amount of time the MongoDB instance spends reading and writing data per collection.
"How does a compound index on `{tags: 1, id: -1}` assist a query that filters by tag and sorts by ID?",It allows the database to use the index for both matching the filter and ordering the results without an in-memory sort.
"In MongoDB version $3.0$, what is the default storage engine that provides document-level locking?",WiredTiger
What is the main limitation of TTL indexes regarding collection types?,They cannot be used on capped collections.
Which update operator is used to increment a numeric field by a specified value?,$\$inc$
"In a sharded cluster, where is the metadata about data distribution stored?",On the config servers.
What is the primary advantage of embedding related data in a single document?,It allows for 'atomic' updates to the entire record and eliminates the need for expensive joins.
How does the shell display an Object ID when you query a document?,As a $24$-character hexadecimal string.
Which shell method prints a list of all collections in the current database?,show collections
"In a MongoDB context, what is 'strong consistency'?",The guarantee that a read will always reflect the most recent acknowledged write to the primary node.
What is the maximum size for a single BSON document in MongoDB version $3.0$?,$16$ MB.