What is the core purpose of the Spring Framework?,It is an open-source framework aimed at simplifying the development process of complex Enterprise Java applications.
The core feature of Spring that provides a streamlined way to configure and manage Java objects is known as the _____ container.,Inversion of Control (IoC)
"In Spring, what is the pattern where a container creates and maintains components, injecting them into the beans that need them, called?",Dependency Injection (DI).
What annotation in a Java-based Spring configuration class indicates that the methods within it will provide beans to the application context?,The `@Configuration` annotation.
"In a Spring `@Configuration` class, what annotation is used on a method to indicate that the object it returns should be added as a bean in the application context?",The `@Bean` annotation.
What is the primary benefit of Spring Boot's autoconfiguration feature?,It dramatically reduces the amount of explicit configuration required by making reasonable guesses about what components need to be configured based on classpath entries and other factors.
What is the function of the `@SpringBootApplication` annotation?,"It is a composite annotation that combines `@SpringBootConfiguration`, `@EnableAutoConfiguration`, and `@ComponentScan` to bootstrap a Spring Boot application."
"The `@EnableAutoConfiguration` annotation, part of `@SpringBootApplication`, tells Spring Boot to automatically configure any components that it thinks you'll need based on ____.",classpath dependencies
What is the purpose of the `@ComponentScan` annotation in a Spring Boot application?,"It enables Spring to automatically discover and register classes annotated with `@Component`, `@Controller`, `@Service`, etc., as beans in the application context."
What is the primary role of a Controller in the Spring MVC framework?,"A Controller is a class that handles HTTP requests, optionally populates model data, and passes the request to a view for rendering or writes data directly to the response body."
Which Spring MVC annotation is used to map an HTTP GET request to a specific handler method in a controller?,The `@GetMapping` annotation.
"In Spring testing, what does the `@SpringBootTest` annotation do?","It tells JUnit to bootstrap the test with Spring Boot capabilities, loading the full application context for integration testing."
"For testing the web layer of a Spring MVC application in isolation, which annotation should be used instead of `@SpringBootTest`?",The `@WebMvcTest` annotation.
"When using `@WebMvcTest`, what class is injected into the test to allow for mocking HTTP requests to the controller?",The `MockMvc` class.
What is the purpose of Spring Boot DevTools?,"It provides development-time features like automatic application restarts, disabling template caching, and enabling LiveReload for faster development cycles."
"Which Spring MVC annotation handles HTTP POST requests, typically used for form submissions or creating resources?",The `@PostMapping` annotation.
What is the purpose of the `@Valid` annotation when used on a method parameter in a Spring MVC controller?,"It triggers validation on the annotated object after it is bound to the request data, based on constraints defined in the object's class."
"In Spring MVC, if validation errors are found after using `@Valid`, where are the details of these errors captured?",They are captured in an `Errors` object that is passed as a parameter to the handler method.
"How can you replace a full controller class for a simple view-forwarding request (e.g., displaying a home page) with configuration?",By implementing the `WebMvcConfigurer` interface and overriding the `addViewControllers` method to register a view controller.
"In Spring Boot, what property must be set to `false` in `application.properties` to disable template caching during development (if DevTools is not used)?",`spring.thymeleaf.cache=false` (for Thymeleaf).
What is the function of Spring's `JdbcTemplate`?,"It simplifies working with JDBC by handling resource management (like opening/closing connections) and exception translation, reducing boilerplate code."
"What annotation marks a class as a repository, indicating it's responsible for data access and storage?",The `@Repository` annotation.
"In Spring Data, what is the primary benefit of extending an interface like `JpaRepository` or `CrudRepository`?","It automatically provides implementations for standard CRUD (Create, Read, Update, Delete) operations, eliminating the need to write boilerplate data access code."
What is a 'derived query method' in Spring Data?,"It's a method in a repository interface whose query is automatically generated by Spring Data based on the method's name (e.g., `findByLastName`)."
Which annotation is used to mark a POJO (Plain Old Java Object) as a JPA entity that can be mapped to a database table?,The `@Entity` annotation.
"In JPA, what annotation specifies the primary key of an entity?",The `@Id` annotation.
What is the purpose of the `@GeneratedValue` annotation in a JPA entity?,"It configures the way the primary key value is generated, such as using a database identity column or a sequence."
"To define custom queries in a Spring Data repository, you can use the _____ annotation on a method.",`@Query`
What is the purpose of the `CommandLineRunner` functional interface in Spring Boot?,"It provides a `run()` method that is executed at application startup, which is useful for preloading data into a database."
"To secure a Spring application, the first step is to add the _____ starter dependency to the build.",`spring-boot-starter-security`
"In Spring Security, what interface must be implemented to provide a custom user store for authentication?",The `UserDetailsService` interface.
"The `UserDetailsService` interface has a single method, _____, which looks up a user by their username.",`loadUserByUsername(String username)`
What is the role of a `PasswordEncoder` bean in Spring Security?,It is used to encode passwords before they are stored and to verify submitted passwords against the stored encoded versions.
"In Spring Security, how do you configure authorization rules for specific URL patterns, such as requiring a certain role?",By configuring an `SecurityFilterChain` bean and using methods like `antMatchers()` and `hasRole()` on the `HttpSecurity` object.
"What is Cross-Site Request Forgery (CSRF), and how does Spring Security protect against it by default?",CSRF is an attack that tricks a user into submitting a malicious request; Spring Security protects against it by requiring a synchronized token with each state-changing request.
How can you access the currently authenticated user's details within a controller method?,"By adding a parameter of type `Principal` or `Authentication`, or by annotating a `User` parameter with `@AuthenticationPrincipal`."
What is the purpose of the `@ConfigurationProperties` annotation?,"It binds external configuration properties (e.g., from `application.yml`) to the fields of a Java bean."
How can you define environment-specific configurations in Spring Boot?,"By using Spring Profiles, creating configuration files like `application-dev.yml` or `application-prod.yml`, and activating the desired profile."
What property is used to activate one or more Spring profiles?,The `spring.profiles.active` property.
Which annotation can be used to conditionally create a bean only when a specific profile is active?,The `@Profile` annotation.
What is the key difference between a `@Controller` and a `@RestController` in Spring?,"A `@RestController` combines `@Controller` and `@ResponseBody`, meaning its methods return data directly written to the HTTP response body, typically as JSON, instead of resolving a view."
"In a REST controller, what does the `@RequestBody` annotation do?","It binds the body of the HTTP request (e.g., a JSON object) to a method parameter."
What is the purpose of returning a `ResponseEntity` object from a controller method?,"It allows for full control over the HTTP response, including the status code, headers, and the response body."
What does the HTTP status code 201 Created typically signify in a REST API?,"It indicates that the request was successful and a new resource was created as a result, often returned from a POST request."
The HTTP method _____ is idempotent and typically used for full updates of an existing resource.,PUT
The HTTP method _____ is used for partial updates to an existing resource.,PATCH
What is the purpose of Spring Data REST?,"It automatically exposes REST endpoints for Spring Data repositories, reducing the need to write boilerplate controller code for simple CRUD operations."
What is the primary role of an Authorization Server in OAuth 2?,Its main job is to authenticate the resource owner (user) and issue access tokens to client applications.
What is the role of a Resource Server in OAuth 2?,It hosts the protected resources (the API) and accepts access tokens to authorize requests from client applications.
"To enable an application to act as an OAuth 2 resource server, which Spring Boot starter dependency is needed?",The `spring-boot-starter-oauth2-resource-server` dependency.
What is the purpose of JMS (Java Message Service)?,"It is a Java API for creating, sending, receiving, and reading messages in an asynchronous messaging system, decoupling application components."
"In Spring's JMS support, what is the role of `JmsTemplate`?","It is a helper class that simplifies the use of JMS for sending messages, much like `JdbcTemplate` simplifies JDBC."
"To create a message-driven POJO that listens for incoming messages from a JMS queue, what annotation is used on the listener method?",The `@JmsListener` annotation.
"In RabbitMQ, what is the role of an exchange?",It receives messages from producers and routes them to one or more queues based on rules defined by the exchange type and routing keys.
What template class does Spring provide for interacting with a RabbitMQ broker?,The `RabbitTemplate` class.
"To listen for messages on a RabbitMQ queue, which annotation is used on the handler method?",The `@RabbitListener` annotation.
"In Kafka, messages are published to categories or feeds called ____.",topics
"To send messages to a Kafka topic, Spring provides the _____ class.",`KafkaTemplate`
What annotation is used to create a message listener for a Kafka topic in Spring?,The `@KafkaListener` annotation.
What is the main goal of Spring Integration?,It provides an implementation of Enterprise Integration Patterns to facilitate messaging and integration between different systems and components.
"In Spring Integration, what is the purpose of a Message Channel?",It acts as a conduit through which messages are passed from one component to another within an integration flow.
What is the key difference between imperative and reactive programming models?,"Imperative programming is a blocking, sequential set of tasks, while reactive programming is a non-blocking, asynchronous paradigm that processes data as streams of events."
What is Project Reactor?,"It is the reactive library that Spring leverages, providing two main publisher types: `Mono` (for 0 or 1 item) and `Flux` (for 0 to N items)."
A reactive stream in Project Reactor that can emit 0 or 1 item is represented by the _____ type.,`Mono`
A reactive stream in Project Reactor that can emit 0 to N items is represented by the _____ type.,`Flux`
What is Spring WebFlux?,"It is Spring's fully reactive, non-blocking web framework for building reactive web applications and APIs, serving as an alternative to Spring MVC."
"In Spring WebFlux testing, what is the reactive equivalent of `MockMvc` for testing controllers without a running server?",The `WebTestClient`.
What is RSocket?,"It is a binary, asynchronous communication protocol that supports multiple interaction models beyond simple request-response, such as request-stream and bidirectional channels."
"In Spring, RSocket endpoints are defined in a controller using the _____ annotation.",`@MessageMapping`
What is the purpose of the Spring Boot Actuator?,It provides production-ready features for monitoring and managing a running Spring Boot application through a set of exposed endpoints.
Which Actuator endpoint provides a basic health check of the application?,The `/actuator/health` endpoint.
The `/actuator/info` endpoint exposes arbitrary application information. How can you easily contribute data to this endpoint via configuration files?,By adding properties prefixed with `info.` in `application.properties` or `application.yml`.
"Which Actuator endpoint provides detailed runtime metrics about the application, such as memory usage, garbage collection, and HTTP requests?",The `/actuator/metrics` endpoint.
How does Spring Boot Admin work?,It is a standalone server application that consumes Actuator endpoints from one or more client applications and presents the data in a user-friendly web UI.
What is the default packaging for a Spring Boot application that includes an embedded web server?,An executable JAR file.
How can you build a Spring Boot application into a Docker container image using the build plugin?,By running the Maven goal `spring-boot:build-image` or the Gradle task `bootBuildImage`.
"In a Kubernetes deployment, what is the purpose of a liveness probe?","It checks if the application is running correctly; if the probe fails, Kubernetes will restart the container to attempt to recover it."
"In Kubernetes, what is the function of a readiness probe?","It checks if the application is ready to accept traffic; if it fails, Kubernetes will not send requests to it until it becomes ready."
What does a `404 Not Found` HTTP status code indicate?,It indicates that the server could not find the requested resource.
What does a `500 Internal Server Error` HTTP status code mean?,"It is a generic error message indicating that something went wrong on the server, but the server could not be more specific about the exact problem."
Concept: Data Transfer Object (DTO),"Definition: An object that carries data between processes, often used in REST APIs to separate the internal domain model from the external representation exposed to clients."
What problem does the `@JsonManagedReference` and `@JsonBackReference` annotations solve?,"They resolve infinite recursion issues during JSON serialization in entities with bidirectional relationships (e.g., parent-child)."
"In a bidirectional relationship, on which side should the `@JsonManagedReference` annotation be placed?","It should be placed on the 'parent' side of the relationship, typically on the field that is a collection of the 'child' entities."
What is the difference between `@PathVariable` and `@RequestParam` in Spring MVC?,"`@PathVariable` is used to extract values from the URL path (e.g., `/users/{id}`), while `@RequestParam` is used to extract query parameters (e.g., `/users?name=john`)."
"To handle multiple configuration classes, which annotation can be used in a primary configuration class to pull in others?",The `@Import` annotation.
"When multiple beans of the same type exist, what annotation can be used alongside `@Autowired` to specify which bean to inject by name?",The `@Qualifier` annotation.
"If you have multiple beans of the same type, how can you designate one as the default bean to be injected without using `@Qualifier`?",By annotating the preferred bean's declaration with `@Primary`.
Which type of dependency injection is generally recommended by the Spring team for its immutability and ease of testing?,Constructor injection.
What is the purpose of the `@Value` annotation?,"It is used to inject values from property files (like `application.properties`), environment variables, or other sources directly into a field."
"To load properties from a file other than `application.properties`, what annotation must be used on a configuration class?","The `@PropertySource` annotation, specifying the classpath location of the properties file."
The _____ annotation from the Jakarta Validation API ensures that a string field is not null and has a length greater than zero.,`@NotEmpty`
What is the difference between `@NotEmpty` and `@NotBlank` validation annotations?,"`@NotEmpty` allows whitespace characters as long as the length is greater than 0, whereas `@NotBlank` requires at least one non-whitespace character."
How does Spring Boot handle exceptions from validation failures (when using `@Valid`) by default?,"It throws a `MethodArgumentNotValidException`, which typically results in an HTTP `400 Bad Request` response."
"In unit testing a service class that depends on a repository, how can you provide a substitute for the repository without connecting to a database?",By creating a mock of the repository using a framework like Mockito.
What is the purpose of the `@Mock` annotation in Mockito?,"It is used to create a mock object for a given class or interface, which can then be programmed with expected behaviors."
What is the purpose of the `@InjectMocks` annotation in Mockito?,It creates an instance of the class and injects the mocks that are created with `@Mock` into it.
"In a Spring Boot project structure, where are test classes typically located?","In the `src/test/java` directory, following the same package structure as the source code."
"To define the behavior of a mock object's method in Mockito, which function is used?",The `when(...).thenReturn(...)` construct.
"To check if a mock object's method was called a specific number of times in a test, which Mockito function is used?",The `verify()` function.
What does the `@SessionAttributes` annotation do in a Spring MVC controller?,It lists the names of model attributes that should be stored in the HTTP session across multiple requests.
"In a Spring Boot application, what is the default embedded server?",Apache Tomcat.
What property in `application.yml` is used to change the port the embedded server runs on?,`server.port`.
How do you specify a custom banner to be displayed on application startup?,By creating a file named `banner.txt` in the `src/main/resources` directory.
What does statelessness mean in the context of REST architecture?,It means the server does not store any client context between requests; each request from a client must contain all the information needed to understand and process it.
What is HATEOAS?,"Hypermedia as the Engine of Application State, a principle of REST where a client interacts with a web application entirely through hypermedia provided dynamically by application servers."
"To enable JPA persistence, which Spring Boot starter dependency is required?",The `spring-boot-starter-data-jpa` dependency.
What is the purpose of the `spring.jpa.hibernate.ddl-auto` property?,"It controls Hibernate's schema generation behavior, with common values like `create`, `update`, `validate`, and `none`."
"What is a Java Record, introduced in Java 14?",It is a special kind of class in Java that provides a concise syntax for declaring classes which are transparent carriers for immutable data.
Which annotation allows customizing the name of a field during JSON serialization and deserialization with Jackson?,The `@JsonProperty` annotation.
"In Postman, where do you place the data for a POST or PUT request?",In the 'Body' tab of the request builder.
How can you disable a specific autoconfiguration class in Spring Boot?,By using the `exclude` attribute of the `@EnableAutoConfiguration` or `@SpringBootApplication` annotation.
What is the purpose of the `@PreAuthorize` annotation in Spring Security?,"It is used for method-level security, allowing you to secure individual methods with SpEL expressions based on roles or permissions."
Which layer in a typical three-tier architecture is responsible for encapsulating business logic?,The Service Layer.
What is the purpose of the `ModelMapper` library?,"It is a library for object-to-object mapping, often used to convert between DTOs and entity objects automatically."